YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2007,CHRYSLER,SEBRING FFV,MID-SIZE,2.7,6,A4,E,15.5,10.0,13.0,22,208
2010,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.6,6.5,8.2,34,189
2009,BMW,328i COUPE,SUBCOMPACT,3.0,6,M6,Z,11.3,7.0,9.3,30,214
2006,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,A5,X,15.6,10.9,13.5,21,310
2014,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,19.5,12.5,16.3,17,261
2013,DODGE,CHALLENGER,COMPACT,3.6,6,A5,X,11.7,7.3,9.7,29,223
2015,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.1,9.9,12.2,23,281
2015,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251
2018,BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,16.6,12.1,14.6,19,341
2013,FORD,FUSION HYBRID,MID-SIZE,2.0,4,AV,X,4.3,4.7,4.5,63,104
2006,DODGE,MAGNUM AWD (MDS),SUV,5.7,8,AS5,X,13.6,9.0,11.6,24,267
2013,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,9.5,6.3,8.1,35,186
2016,HONDA,CR-Z,TWO-SEATER,1.5,4,AV7,X,7.0,6.4,6.8,42,157
2003,MERCEDES-BENZ,CLK 320,SUBCOMPACT,3.2,6,A5,Z,12.2,8.1,10.4,27,239
2018,Nissan,370Z Roadster,Two-seater,3.7,6,AS7,Z,13.0,9.7,11.5,25,270
2019,Ford,Transit Connect Wagon LWB,Special purpose vehicle,2.0,4,AS8,X,9.9,8.2,9.2,31,214
2007,JAGUAR,S-TYPE 4.2,MID-SIZE,4.2,8,A6,Z,13.0,8.3,10.9,26,251
2020,GMC,Sierra 4WD,Pickup truck: Standard,6.2,8,A10,Z,15.5,11.9,13.9,20,326
2021,Ford,Mustang,Subcompact,5.0,8,AS10,X,15.3,9.8,12.8,22,300
2002,KIA,SPECTRA,COMPACT,1.8,4,M5,X,10.0,6.8,8.6,33,198
2022,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.1,9.6,12.6,22,297
2013,LINCOLN,MKZ HYBRID,MID-SIZE,2.0,4,AV,X,5.1,5.3,5.2,54,120
2006,VOLKSWAGEN,GTI,COMPACT,1.8,4,AS5,Z,10.8,7.4,9.3,30,214
2015,SUBARU,LEGACY AWD,MID-SIZE,2.5,4,M6,X,10.7,7.8,9.4,30,216
2012,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,15.6,10.0,13.0,22,208
2000,MAZDA,PROTEGE,COMPACT,1.6,4,M5,X,8.5,6.7,7.7,37,177
2019,Kia,Niro,Station wagon: Small,1.6,4,AM6,X,4.6,5.1,4.8,59,114
2011,FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.0,9.5,12.0,24,276
2022,Porsche,911 Carrera Cabriolet,Minicompact,3.0,6,AM8,Z,13.1,9.8,11.6,24,275
2004,FORD,FOCUS,COMPACT,2.0,4,A4,X,9.0,6.7,8.0,35,184
2008,VOLKSWAGEN,JETTA SPORTWAGON,STATION WAGON - SMALL,2.5,5,M5,X,10.8,6.9,9.0,31,207
2008,PORSCHE,BOXSTER,TWO-SEATER,2.7,6,AS6,Z,11.0,7.6,9.5,30,218
2006,FERRARI,F430 SPIDER,TWO-SEATER,4.3,8,AS6,Z,19.1,12.3,16.0,18,368
2009,HONDA,FIT,STATION WAGON - SMALL,1.5,4,A5,X,7.1,5.5,6.4,44,147
2009,MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,A7,Z,11.6,8.0,10.0,28,230
2003,JAGUAR,XJR #,COMPACT,4.0,8,A5,Z,14.6,9.9,12.5,23,288
2009,VOLKSWAGEN,PASSAT CC 4MOTION,COMPACT,3.6,6,AS6,Z,12.7,8.3,10.7,26,246
2022,Mazda,CX-30 Turbo 4WD,SUV: Small,2.5,4,AS6,X,10.5,7.9,9.3,30,220
2008,JAGUAR,S-TYPE 3.0,MID-SIZE,3.0,6,A6,Z,12.4,7.8,10.3,27,237
2007,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,16.2,10.3,13.6,21,313
2020,GMC,Sierra 4WD,Pickup truck: Standard,3.0,6,A10,D,10.5,9.1,9.9,29,265
2003,DODGE,SX 2.0 R/T #,COMPACT,2.0,4,M5,X,8.8,6.7,7.9,36,182
2021,Ford,Mustang Convertible (High Performance),Subcompact,2.3,4,AS10,X,12.1,8.9,10.7,26,251
2008,SAAB,9-3 SPORTCOMBI TURBO,STATION WAGON - SMALL,2.0,4,M6,Z,10.7,6.9,9.0,31,207
2004,CHRYSLER,SEBRING,MID-SIZE,2.7,6,AS4,X,11.1,7.7,9.6,29,221
2009,FORD,ESCAPE HYBRID AWD,SUV,2.5,4,AV,X,7.0,7.4,7.2,39,166
2002,VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,M5,Z,11.9,7.7,10.0,28,230
2006,SUBARU,OUTBACK 2.5i WAGON AWD,SUV,2.5,4,M5,X,10.3,7.6,9.1,31,209
2019,Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A6,X,15.8,11.1,13.7,21,321
2007,DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,X,12.0,8.2,10.3,27,237
2010,JEEP,COMPASS 4X2,SUV,2.0,4,M5,X,8.9,6.9,8.0,35,184
2022,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249
2007,CHEVROLET,MALIBU,MID-SIZE,2.2,4,A4,X,9.6,6.3,8.2,34,189
2014,GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,E,21.2,13.8,17.9,16,286
2004,MITSUBISHI,GALANT GTS,MID-SIZE,3.8,6,AS4,Z,12.6,8.0,10.5,27,242
2022,Jeep,Renegade,SUV: Small,1.3,4,A9,X,9.8,7.4,8.7,32,204
2022,Kia,Seltos,SUV: Small,2.0,4,AV8,X,8.2,7.1,7.7,37,182
2009,HONDA,FIT,STATION WAGON - SMALL,1.5,4,M5,X,7.2,5.7,6.5,43,150
2009,PONTIAC,TORRENT AWD,SUV,3.6,6,AS6,X,13.0,8.3,10.9,26,251
2015,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230
2003,HYUNDAI,TIBURON,SUBCOMPACT,2.7,6,A4,X,12.0,8.3,10.3,27,237
2022,Porsche,718 Boxster T,Two-seater,2.0,4,M6,Z,11.7,8.9,10.5,27,245
2001,BMW,M ROADSTER,TWO-SEATER,3.2,6,M5,Z,13.6,8.8,11.4,25,262
2009,CHEVROLET,SILVERADO XFE FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.4,12.8,16.4,17,262
2019,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,19,355
2003,SAAB,9-5 AERO WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,A5,Z,12.1,7.6,10.1,28,232
2007,SUBARU,OUTBACK 2.5i WAGON,SUV,2.5,4,AS4,X,10.6,7.6,9.3,30,214
2003,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,A4,X,10.9,8.8,10.0,28,230
2012,FORD,FOCUS,COMPACT,2.0,4,M5,X,7.8,5.5,6.8,42,156
2017,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,12.2,8.6,10.6,27,248
2006,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.6,11.5,14.3,20,329
2015,BMW,428i GRAN COUPE,COMPACT,2.0,4,M6,Z,10.9,6.8,9.0,31,207
2013,LEXUS,IS 250C,SUBCOMPACT,2.5,6,AS6,Z,9.6,6.5,8.2,34,189
2015,INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11.0,26,253
2016,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,23.0,16.0,19.8,14,465
2018,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14.1,10.0,12.2,23,288
2019,Chevrolet,Cruze Premier,Compact,1.4,4,AS6,X,8.3,6.2,7.3,39,172
2004,SATURN,VUE,SUV,2.2,4,AV,X,10.9,7.8,9.5,30,218
2011,MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,AS6,Z,12.7,9.0,11.0,26,253
2004,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,M5,X,16.4,10.9,13.9,20,320
2022,Chevrolet,Tahoe 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,19,353
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,9.2,5.6,7.6,37,175
2014,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,M7,Z,11.3,7.5,9.6,29,221
2021,Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,Z,15.0,9.0,12.3,23,290
2017,NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,11.6,8.5,10.2,28,240
2011,INFINITI,FX50 AWD,SUV,5.0,8,AS7,Z,14.6,10.1,12.6,22,290
2010,HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6,M6,X,12.0,7.6,10.0,28,230
2008,CHEVROLET,AVALANCHE 4X4,PICKUP TRUCK - STANDARD,6.0,8,A4,X,17.3,11.8,14.8,19,340
2012,GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.9,4,M5,X,11.7,8.1,10.1,28,232
2018,Mercedes-Benz,AMG G 63,SUV: Standard,5.5,8,A7,Z,19.9,15.5,17.9,16,419
2013,MAZDA,CX-5,SUV - SMALL,2.0,4,M6,X,7.8,5.7,6.8,42,156
2017,DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
2005,JAGUAR,XKR #,SUBCOMPACT,4.2,8,A6,Z,14.8,9.5,12.4,23,285
2013,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,15.4,9.5,12.8,22,205
2011,JEEP,PATRIOT,SUV,2.0,4,M5,X,9.1,6.8,8.1,35,186
2011,LINCOLN,MKS AWD,FULL-SIZE,3.5,6,AS6,X,12.5,8.1,10.5,27,242
2014,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,10.3,6.5,8.6,33,198
2019,Lexus,IS 300,Compact,2.0,4,AS8,Z,11.0,7.6,9.5,30,220
2018,Chevrolet,Tahoe FFV,SUV: Standard,5.3,8,A6,E,19.8,13.9,17.2,16,285
2008,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,6.0,8,A4,X,17.0,11.5,14.5,19,334
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,13.4,8.4,11.1,25,255
2011,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,19.1,12.0,15.9,18,366
2001,BMW,X5,SUV,3.0,6,M5,Z,15.6,10.6,13.4,21,308
2002,BMW,525i,COMPACT,2.5,6,A5,Z,11.8,7.9,10.0,28,230
2022,Mazda,CX-5 Turbo 4WD,SUV: Small,2.5,4,AS6,X,10.8,8.7,9.8,29,230
2010,HYUNDAI,GENESIS,FULL-SIZE,4.6,8,AS6,Z,12.6,8.1,10.6,27,244
2018,MINI,Cooper S Countryman ALL4,Mid-size,2.0,4,M6,Z,11.3,7.7,9.7,29,227
2002,JAGUAR,S-TYPE,MID-SIZE,4.0,8,A5,Z,13.6,8.9,11.5,25,264
2020,Honda,Civic Sedan,Mid-size,2.0,4,M6,X,9.3,6.5,8.0,35,186
2010,BMW,135i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,11.9,7.9,10.1,28,232
2010,CHEVROLET,COLORADO CHASSIS CAB 4WD,PICKUP TRUCK - SMALL,3.7,5,A4,X,13.3,9.3,11.5,25,264
2013,DODGE,CHALLENGER SRT,COMPACT,6.4,8,M6,Z,15.1,8.8,12.3,23,283
2014,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M5,X,11.3,9.0,10.3,27,237
2022,Hyundai,Elantra N,Mid-size,2.0,4,M6,Z,10.9,7.7,9.4,30,223
2002,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.7,6,A4,X,11.9,8.1,10.2,28,235
2015,MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,M6,Z,10.4,7.2,9.0,31,207
2020,BMW,M4 Coupe,Compact,3.0,6,M6,Z,13.4,9.6,11.7,24,273
2004,SUZUKI,GRAND VITARA XL-7,SUV,2.7,6,A5,X,13.6,9.8,11.9,24,274
2014,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,16.6,10.6,13.9,20,222
2018,Kia,Niro FE,Station wagon: Small,1.6,4,AM6,X,4.5,4.8,4.7,60,110
2008,DODGE,DAKOTA FFV,PICKUP TRUCK - STANDARD,4.7,8,A5,E,21.1,14.8,18.3,15,293
2002,INFINITI,I35,MID-SIZE,3.5,6,A4,X,12.1,8.3,10.4,27,239
2008,MERCEDES-BENZ,C 350,COMPACT,3.5,6,A7,Z,12.2,7.9,10.3,27,237
2019,Jaguar,F-TYPE Convertible R-Dynamic,Two-seater,3.0,6,M6,Z,15.3,10.0,12.9,22,302
2018,Honda,Accord,Full-size,1.5,4,AV,X,7.9,6.3,7.2,39,168
2011,JEEP,PATRIOT,SUV,2.0,4,AV,X,9.0,7.3,8.3,34,191
2021,Mazda,Mazda3 4-Door,Compact,2.0,4,AS6,X,8.4,6.6,7.6,37,178
2021,Aston Martin,DB11 AMR,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,21,312
2015,FORD,MUSTANG,SUBCOMPACT,2.3,4,AS6,X,11.0,7.4,9.4,30,216
2009,SAAB,9-3 SPORTCOMBI TURBO,STATION WAGON - SMALL,2.0,4,M6,Z,10.7,6.9,9.0,31,207
2017,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,8.0,9.9,29,233
2007,GMC,SIERRA CLASSIC,PICKUP TRUCK - STANDARD,4.3,6,A4,X,13.9,10.1,12.2,23,281
2005,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,12.6,8.2,10.6,27,244
2000,FERRARI,456 MGTA,SUBCOMPACT,5.5,12,M6,Z,24.0,13.4,19.2,15,442
2012,GMC,SIERRA DENALI AWD,PICKUP TRUCK - STANDARD,6.2,8,A6,E,24.0,14.9,19.9,14,318
2010,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS6,Z,20.4,11.6,16.4,17,377
2007,MINI,COOPER,MINICOMPACT,1.6,4,A6,Z,7.8,5.9,7.0,40,161
2017,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.1,8.5,10.0,28,233
2005,PONTIAC,G6,COMPACT,3.5,6,AS4,X,11.7,7.7,9.9,29,228
2017,FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.0,7.0,8.7,32,204
2000,TOYOTA,4RUNNER 4X4,SUV,3.4,6,M5,X,14.1,10.8,12.6,22,290
2001,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,13.6,9.1,11.6,24,267
2002,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,A4,D,6.9,4.9,6.0,47,162
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,A4,X,14.6,10.2,12.6,22,290
2016,MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,14.6,9.6,12.3,23,289
2007,TOYOTA,CAMRY HYBRID,MID-SIZE,2.4,4,AV,X,5.7,5.7,5.7,50,131
2004,MERCEDES-BENZ,SLK 230,TWO-SEATER,2.3,4,M6,Z,11.2,7.5,9.5,30,218
2015,TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4.0,6,M6,X,14.5,11.3,13.1,22,301
2006,HYUNDAI,SANTA FE 4X4,SUV,2.7,6,A4,X,13.0,9.3,11.3,25,260
2015,MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4,M6,Z,10.0,7.0,8.6,33,198
2020,Mercedes-Benz,AMG GT R Coupe,Two-seater,4.0,8,AM7,Z,15.9,11.8,14.0,20,327
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,18.2,11.9,15.4,18,354
2021,Ford,Bronco 4WD,SUV: Small,2.3,4,M7,X,11.6,10.9,11.3,25,265
2009,MERCEDES-BENZ,E 320 BLUETEC,MID-SIZE,3.0,6,A7,D,9.0,6.1,7.7,37,208
2010,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,A6,Z,14.0,8.7,11.6,24,267
2007,CHRYSLER,ASPEN 4X4 (MDS),SUV,5.7,8,A5,X,16.5,11.2,14.2,20,327
2015,BMW,320i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193
2008,BMW,128i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,11.2,7.0,9.3,30,214
2022,BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322
2013,BMW,335i COUPE,SUBCOMPACT,3.0,6,A6,Z,11.6,7.4,9.7,29,223
2000,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.8,6,A4,X,13.6,9.1,11.6,24,267
2006,MASERATI,QUATTROPORTE,FULL-SIZE,4.2,8,A6,Z,18.9,12.3,15.9,18,366
2000,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,A4,X,14.1,10.9,12.7,22,292
2016,HYUNDAI,ELANTRA,MID-SIZE,1.8,4,M6,X,8.8,6.4,7.7,37,180
2007,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6.0,12,AS6,Z,20.9,11.9,16.8,17,386
2009,KIA,SORENTO 4X4,SUV,3.3,6,AS5,X,14.0,9.2,11.8,24,271
2018,BMW,650i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.7,9.6,12.4,23,292
2015,MERCEDES-BENZ,B 250,STATION WAGON - SMALL,2.0,4,AS7,Z,9.2,6.6,8.0,35,184
2018,Mercedes-Benz,S 450 4MATIC SWB,Mid-size,3.0,6,A9,Z,12.8,8.5,10.9,26,255
2002,GMC,K1500 YUKON 4X4,SUV,6.0,8,A4,X,20.4,14.5,17.7,16,407
2016,HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.7,6.3,7.6,37,176
2012,PORSCHE,911 TARGA 4,MINICOMPACT,3.6,6,M6,Z,11.4,7.8,9.8,29,225
2005,CADILLAC,CTS,MID-SIZE,3.6,6,A5,X,13.4,7.9,10.9,26,251
2012,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,A6,Z,18.7,11.4,15.4,18,354
2009,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,5.3,8,A4,X,13.6,9.6,11.8,24,271
2013,MERCEDES-BENZ,E 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.0,7.2,9.3,30,214
2019,Jeep,Wrangler JL 4X4,SUV: Small,3.6,6,A8,X,12.8,10.4,11.8,24,274
2005,FORD,THUNDERBIRD,TWO-SEATER,3.9,8,AS5,Z,13.3,9.0,11.3,25,260
2010,TOYOTA,COROLLA,COMPACT,2.4,4,M5,X,9.5,6.7,8.2,34,189
2012,DODGE,CHALLENGER SRT8 392 (FuelSaver MDS),COMPACT,6.4,8,AS5,Z,15.0,8.7,12.2,23,281
2003,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,MINICOMPACT,1.8,4,AS6,Z,10.9,7.5,9.4,30,216
2012,HONDA,FIT,STATION WAGON - SMALL,1.5,4,A5,X,7.1,5.4,6.3,45,145
